Rank,Representative,Party,District,Birth Date,Seniority Date,End Date,Death,Midterm Resign,Retired,Other Office,Defeated In Primary,Defeated In General,Reelected,Status
,Jimmy Duncan,R,Tennessee?2,"July 21, 1947","November 8, 1988","January 3, 2019",,,1,,,,0,3
9,Frank Pallone,D,New Jersey?6,"October 30, 1951","November 8, 1988",,,,,,,,1,0
,Eliot Engel,D,New York?16,"February 18, 1947","January 3, 1989","January 3, 2021",,,,,1,,0,5
,Jim McDermott,D,Washington?7,"December 28, 1936","January 3, 1989","January 3, 2017",,,1,,,,0,3
,Nita Lowey,D,New York?17,"July 5, 1937","January 3, 1989","January 3, 2021",,,1,,,,0,3
10,Richard Neal,D,Massachusetts?1,"February 14, 1949","January 3, 1989",,,,,,,,1,0
,Ileana Ros-Lehtinen,R,Florida?27,"July 15, 1952","August 29, 1989","January 3, 2019",,,1,,,,0,3
,Jos? E. Serrano,D,New York?15,"October 24, 1943","March 20, 1990","January 3, 2021",,,1,,,,0,3
,Rob Andrews,D,New Jersey?1,"August 4, 1957","November 6, 1990","February 18, 2014",,1,,,,,0,2
,Collin Peterson,D,Minnesota?7,"June 29, 1944","January 3, 1991","January 3, 2021",,,,,,1,0,6
,Jim Moran,D,Virginia?8,"May 16, 1945","January 3, 1991","January 3, 2015",,,1,,,,0,3
,Dave Camp,R,Michigan?4,"July 9, 1953","January 3, 1991","January 3, 2015",,,1,,,,0,3
,John Boehner,R,Ohio?8,"November 17, 1949","January 3, 1991","October 31, 2015",,1,,,,,0,2
13,Maxine Waters,D,California?43,"August 15, 1938","January 3, 1991",,,,,,,,1,0
12,Rosa DeLauro,D,Connecticut?3,"March 2, 1943","January 3, 1991",,,,,,,,1,0
,Sam Johnson,R,Texas?3,"October 11, 1930","May 8, 1991","January 3, 2019",,,1,,,,0,3
,Ed Pastor,D,Arizona?7,"June 28, 1943","October 3, 1991","January 3, 2015",,,1,,,,0,3
14,Jerry Nadler,D,New York?10,"June 13, 1947","November 3, 1992",,,,,,,,1,0
,John Mica,R,Florida?7,"January 27, 1943","January 3, 1993","January 3, 2017",,,,,,1,0,6
,Corrine Brown,D,Florida?5,"November 11, 1946","January 3, 1993","January 3, 2017",,,,,1,,0,5
22,Carolyn Maloney,D,New York?12,"February 19, 1946","January 3, 1993",,,,,,1,,0,5
,Jack Kingston,R,Georgia?1,"April 24, 1955","January 3, 1993","January 3, 2015",,,,1,,,0,4
,Xavier Becerra,D,California?34,"January 26, 1958","January 3, 1993","January 24, 2017",,,,1,,,0,4
,Buck McKeon,R,California?25,"September 9, 1938","January 3, 1993","January 3, 2015",,,1,,,,0,3
,Spencer Bachus,R,Alabama?6,"December 28, 1947","January 3, 1993","January 3, 2015",,,1,,,,0,3
,Rodney Frelinghuysen,R,New Jersey?11,"April 29, 1946","January 3, 1993","January 3, 2019",,,1,,,,0,3
,Frank LoBiondo,R,New Jersey?2,"May 12, 1946","January 3, 1993","January 3, 2019",,,1,,,,0,3
,Gene Green,D,Texas?29,"October 17, 1947","January 3, 1993","January 3, 2019",,,1,,,,0,3
,Ed Royce,R,California?39,"October 12, 1951","January 3, 1993","January 3, 2019",,,1,,,,0,3
,Bob Goodlatte,R,Virginia?6,"September 22, 1952","January 3, 1993","January 3, 2019",,,1,,,,0,3
,Luis Guti?rrez,D,Illinois?4,"December 10, 1953","January 3, 1993","January 3, 2019",,,1,,,,0,3
,Peter T. King,R,New York?2,"April 5, 1944","January 3, 1993","January 3, 2021",,,1,,,,0,3
21,Eddie Bernice Johnson,D,Texas?30,"December 3, 1935","January 3, 1993",,,,1,,,,0,3
23,Lucille Roybal-Allard,D,California?40,"June 12, 1941","January 3, 1993",,,,1,,,,0,3
24,Bobby Rush,D,Illinois?1,"November 23, 1946","January 3, 1993",,,,1,,,,0,3
,Mel Watt,D,North Carolina?12,"August 26, 1945","January 3, 1993","January 6, 2014",,1,,,,,0,2
20,Alcee Hastings,D,Florida?20,"September 5, 1936","January 3, 1993","April 6, 2021",1,,,,,,0,1
18,Jim Clyburn,D,South Carolina?6,"July 21, 1940","January 3, 1993",,,,,,,,1,0
19,Anna Eshoo,D,California?18,"December 13, 1942","January 3, 1993",,,,,,,,1,0
16,Sanford Bishop,D,Georgia?2,"February 4, 1947","January 3, 1993",,,,,,,,1,0
25,Bobby Scott,D,Virginia?3,"April 30, 1947","January 3, 1993",,,,,,,,1,0
26,Nydia Vel?zquez,D,New York?7,"March 28, 1953","January 3, 1993",,,,,,,,1,0
17,Ken Calvert,R,California?42,"June 8, 1953","January 3, 1993",,,,,,,,1,0
27,Bennie Thompson,D,Mississippi?2,"January 28, 1948","April 13, 1993",,,,,,,,1,0
,Sam Farr,D,California?20,"July 4, 1941","June 8, 1993","January 3, 2017",,,1,,,,0,3
28,Frank Lucas,R,Oklahoma?3,"January 6, 1960","May 10, 1994",,,,,,,,1,0
46,Steve Chabot,R,Ohio?1,"January 22, 1953","January 3, 1995",,,,,,,1,0,6
,Chaka Fattah,D,Pennsylvania?2,"November 21, 1956","January 3, 1995","June 23, 2016",,,,,1,,0,5
,Doc Hastings,R,Washington?4,"February 7, 1941","January 3, 1995","January 3, 2015",,,1,,,,0,3
,Tom Latham,R,Iowa?3,"July 14, 1948","January 3, 1995","January 3, 2015",,,1,,,,0,3
,Ed Whitfield,R,Kentucky?1,"May 25, 1943","January 3, 1995","September 6, 2016",,,1,,,,0,3
,Mac Thornberry,R,Texas?13,"July 15, 1958","January 3, 1995","January 3, 2021",,,1,,,,0,3
30,Mike Doyle,D,Pennsylvania?18,"August 5, 1953","January 3, 1995",,,,1,,,,0,3
,Walter B. Jones Jr.,R,North Carolina?3,"February 10, 1943","January 3, 1995","February 10, 2019",1,,,,,,0,1
29,Lloyd Doggett,D,Texas?35,"October 6, 1946","January 3, 1995",,,,,,,,1,0
32,Zoe Lofgren,D,California?19,"December 21, 1947","January 3, 1995",,,,,,,,1,0
31,Sheila Jackson Lee,D,Texas?18,"January 12, 1950","January 3, 1995",,,,,,,,1,0
,Elijah Cummings,D,Maryland?7,"January 18, 1951","April 16, 1996","October 17, 2019",,,,1,,,0,4
33,Earl Blumenauer,D,Oregon?3,"August 16, 1948","May 21, 1996",,,,,,,,1,0
,Jo Ann Emerson,R,Missouri?8,"September 16, 1950","November 5, 1996","January 22, 2013",,1,,,,,0,2
,John F. Tierney,D,Massachusetts?6,"September 18, 1951","January 3, 1997","January 3, 2015",,,,,1,,0,5
,Loretta Sanchez,D,California?46,"January 7, 1960","January 3, 1997","January 3, 2017",,,,1,,,0,4
,Carolyn McCarthy,D,New York?4,"January 5, 1944","January 3, 1997","January 3, 2015",,,1,,,,0,3
,Mike McIntyre,D,North Carolina?7,"August 6, 1956","January 3, 1997","January 3, 2015",,,1,,,,0,3
,Joe Pitts,R,Pennsylvania?16,"October 10, 1939","January 3, 1997","January 3, 2017",,,1,,,,0,3
,Rub?n Hinojosa,D,Texas?15,"August 20, 1940","January 3, 1997","January 3, 2017",,,1,,,,0,3
,John Shimkus,R,Illinois?15,"February 21, 1958","January 3, 1997","January 3, 2021",,,1,,,,0,3
11,David Price,D,North Carolina?4,"August 17, 1940","January 3, 1997",,,,1,,,,0,3
35,Kevin Brady,R,Texas?8,"April 11, 1955","January 3, 1997",,,,1,,,,0,3
39,Ron Kind,D,Wisconsin?3,"March 16, 1963","January 3, 1997",,,,1,,,,0,3
41,Bill Pascrell,D,New Jersey?9,"January 25, 1937","January 3, 1997",,,,,,,,1,0
36,Danny K. Davis,D,Illinois?7,"September 6, 1941","January 3, 1997",,,,,,,,1,0
38,Kay Granger,R,Texas?12,"January 18, 1943","January 3, 1997",,,,,,,,1,0
42,Brad Sherman,D,California?30,"October 24, 1954","January 3, 1997",,,,,,,,1,0
52,Pete Sessions,R,Texas?17,"March 22, 1955","January 3, 1997",,,,,,,,1,0
37,Diana DeGette,D,Colorado?1,"July 29, 1957","January 3, 1997",,,,,,,,1,0
40,Jim McGovern,D,Massachusetts?2,"November 20, 1959","January 3, 1997",,,,,,,,1,0
43,Adam Smith,D,Washington?9,"June 15, 1965","January 3, 1997",,,,,,,,1,0
34,Robert Aderholt,R,Alabama?4,"July 22, 1965","January 3, 1997",,,,,,,,1,0
44,Gregory Meeks,D,New York?5,"September 25, 1953","February 3, 1998",,,,,,,,1,0
,Lois Capps,D,California?24,"January 10, 1938","March 10, 1998","January 3, 2017",,,1,,,,0,3
45,Barbara Lee,D,California?13,"July 16, 1946","April 7, 1998",,,,,,,,1,0
,Bob Brady,D,Pennsylvania?1,"April 7, 1945","May 19, 1998","January 3, 2019",,,1,,,,0,3
,Lee Terry,R,Nebraska?2,"January 29, 1962","January 3, 1999","January 3, 2015",,,,,,1,0,6
,John Culberson,R,Texas?7,"August 24, 1956","January 3, 1999","January 3, 2019",,,,,,1,0,6
,Mike Capuano,D,Massachusetts?7,"January 9, 1952","January 3, 1999","January 3, 2019",,,,,1,,0,5
,Joe Crowley,D,New York?14,"March 16, 1962","January 3, 1999","January 3, 2019",,,,,1,,0,5
,Rush Holt Jr.,D,New Jersey?12,"October 15, 1948","January 3, 1999","January 3, 2015",,,1,,,,0,3
,Gary Miller,R,California?31,"October 16, 1948","January 3, 1999","January 3, 2015",,,1,,,,0,3
,Pat Tiberi,R,Ohio?12,"October 21, 1962","January 3, 1999","January 15, 2018",,,1,,,,0,3
,Paul Ryan,R,Wisconsin?1,"January 29, 1970","January 3, 1999","January 3, 2019",,,1,,,,0,3
,Greg Walden,R,Oregon?2,"January 10, 1957","January 3, 1999","January 3, 2021",,,1,,,,0,3
48,Grace Napolitano,D,California?32,"December 4, 1936","January 3, 1999",,,,,,,,1,0
49,Jan Schakowsky,D,Illinois?9,"May 26, 1944","January 3, 1999",,,,,,,,1,0
47,John B. Larson,D,Connecticut?1,"July 22, 1948","January 3, 1999",,,,,,,,1,0
50,Mike Simpson,R,Idaho?2,"September 8, 1950","January 3, 1999",,,,,,,,1,0
51,Mike Thompson,D,California?5,"January 24, 1951","January 3, 1999",,,,,,,,1,0
,Mike Honda,D,California?17,"June 27, 1941","January 3, 2001","January 3, 2017",,,,,,1,0,6
,Eric Cantor,R,Virginia?7,"June 6, 1963","January 3, 2001","January 3, 2015",,,,,1,,0,5
,Lacy Clay,D,Missouri?1,"July 27, 1956","January 3, 2001","January 3, 2021",,,,,1,,0,5
,Shelley Moore Capito,R,West Virginia?2,"November 26, 1953","January 3, 2001","January 3, 2015",,,,1,,,0,4
,Jim Matheson,D,Utah?4,"September 1, 1944","January 3, 2001","January 3, 2015",,,1,,,,0,3
,Ander Crenshaw,R,Florida?4,"September 1, 1944","January 3, 2001","January 3, 2017",,,1,,,,0,3
,Steve Israel,D,New York?3,"May 30, 1958","January 3, 2001","January 3, 2017",,,1,,,,0,3
,Susan Davis,D,California?53,"April 13, 1944","January 3, 2001","January 3, 2021",,,1,,,,0,3
54,James Langevin,D,Rhode Island?2,"April 22, 1964","January 3, 2001",,,,1,,,,0,3
73,Darrell Issa,R,California?50,"November 1, 1953","January 3, 2001",,,,,,,,1,0
56,Betty McCollum,D,Minnesota?4,"July 12, 1954","January 3, 2001",,,,,,,,1,0
57,Adam Schiff,D,California?28,"June 22, 1960","January 3, 2001",,,,,,,,1,0
53,Sam Graves,R,Missouri?6,"November 7, 1963","January 3, 2001",,,,,,,,1,0
55,Rick Larsen,D,Washington?2,"June 15, 1965","January 3, 2001",,,,,,,,1,0
,Marsha Blackburn,R,Tennessee?7,"June 6, 1952","May 15, 2001","January 3, 2019",,,,1,,,0,4
,Charlie Dent,R,Pennsylvania?15,"May 24, 1960","May 15, 2001","May 12, 2018",,,1,,,,0,3
,Ted Poe,R,Texas?2,"September 10, 1948","May 15, 2001","January 3, 2019",,,1,,,,0,3
,Dave Reichert,R,Washington?8,"August 29, 1950","May 15, 2001","January 3, 2019",,,1,,,,0,3
,Jeb Hensarling,R,Texas?5,"May 29, 1957","May 15, 2001","January 3, 2019",,,1,,,,0,3
,Bill Shuster,R,Pennsylvania?9,"January 10, 1961","May 15, 2001","January 3, 2019",,,1,,,,0,3
,Tom Price,R,Georgia?6,"October 8, 1954","May 15, 2001","February 10, 2017",,1,,,,,0,2
,Tim Murphy,R,Pennsylvania?18,"September 11, 1952","May 15, 2001","October 21, 2017",,1,,,,,0,2
,Trent Franks,R,Arizona?8,"June 19, 1957","May 15, 2001","December 8, 2017",,1,,,,,0,2
,Randy Forbes,R,Virginia?4,"February 17, 1952","June 19, 2001","January 3, 2017",,,,,1,,0,5
,Jeff Miller,R,Florida?1,"June 27, 1959","October 16, 2001","January 3, 2017",,,1,,,,0,3
58,Stephen F. Lynch,D,Massachusetts?8,"March 31, 1955","October 16, 2001",,,,,,,,1,0
59,Joe Wilson,R,South Carolina?2,"July 31, 1947","December 18, 2001",,,,,,,,1,0
,Rodney Alexander,R,Louisiana?5,"December 5, 1946","January 3, 2003","September 26, 2013",,1,,,,,0,2
,Tim Bishop,D,New York?1,"June 1, 1950","January 3, 2003","January 3, 2015",,,,,,1,0,6
,Scott Garrett,R,New Jersey?5,"July 9, 1959","January 3, 2003","January 3, 2017",,,,,,1,0,6
,Steve King,R,Iowa?4,"May 28, 1949","January 3, 2003","January 3, 2021",,,,,1,,0,5
,Phil Gingrey,R,Georgia?11,"July 10, 1942","January 3, 2003","January 3, 2015",,,,1,,,0,4
,Mike Michaud,D,Maine?2,"January 18, 1955","January 3, 2003","January 3, 2015",,,,1,,,0,4
,Chris Van Hollen,D,Maryland?8,"January 10, 1959","January 3, 2003","January 3, 2017",,,,1,,,0,4
,Rob Bishop,R,Utah?1,"July 13, 1951","January 3, 2003","January 3, 2021",,,,1,,,0,4
68,Tim Ryan,D,Ohio?13,"July 16, 1973","January 3, 2003",,,,,1,,,0,4
,Jim Gerlach,R,Pennsylvania?6,"February 25, 1955","January 3, 2003","January 3, 2015",,,1,,,,0,3
,Candice Miller,R,Michigan?10,"May 7, 1954","January 3, 2003","December 31, 2016",,,1,,,,0,3
,John Kline,R,Minnesota?2,"September 6, 1947","January 3, 2003","January 3, 2017",,,1,,,,0,3
15,Jim Cooper,D,Tennessee?5,"June 19, 1954","January 3, 2003",,,,1,,,,0,3
,Jo Bonner,R,Alabama?1,"November 19, 1959","January 3, 2003","August 2, 2013",,1,,,,,0,2
65,Devin Nunes,R,California?22,"October 1, 1973","January 3, 2003","December 31, 2021",,1,,,,,0,2
61,John Carter,R,Texas?31,"November 6, 1941","January 3, 2003",,,,,,,,1,0
70,David Scott,D,Georgia?13,"June 27, 1945","January 3, 2003",,,,,,,,1,0
67,Dutch Ruppersberger,D,Maryland?2,"January 31, 1946","January 3, 2003",,,,,,,,1,0
64,Ra?l Grijalva,D,Arizona?3,"February 19, 1948","January 3, 2003",,,,,,,,1,0
62,Tom Cole,R,Oklahoma?4,"April 28, 1949","January 3, 2003",,,,,,,,1,0
60,Michael C. Burgess,R,Texas?26,"December 23, 1950","January 3, 2003",,,,,,,,1,0
66,Mike Rogers,R,Alabama?3,"July 16, 1958","January 3, 2003",,,,,,,,1,0
71,Mike Turner,R,Ohio?10,"January 11, 1960","January 3, 2003",,,,,,,,1,0
63,Mario D?az-Balart,R,Florida?25,"September 25, 1961","January 3, 2003",,,,,,,,1,0
69,Linda S?nchez,D,California?38,"January 28, 1969","January 3, 2003",,,,,,,,1,0
,Randy Neugebauer,R,Texas?19,"December 24, 1949","June 3, 2003","January 3, 2017",,,1,,,,0,3
72,G. K. Butterfield,D,North Carolina?1,"April 27, 1947","July 20, 2004",,,,1,,,,0,3
,John Barrow,D,Georgia?12,"October 31, 1955","January 3, 2005","January 3, 2015",,,,,,1,0,6
,Dan Lipinski,D,Illinois?3,"July 15, 1966","January 3, 2005","January 3, 2021",,,,,1,,0,5
,Allyson Schwartz,D,Pennsylvania?13,"October 3, 1948","January 3, 2005","January 3, 2015",,,,1,,,0,4
,Charles Boustany,R,Louisiana?3,"February 21, 1956","January 3, 2005","January 3, 2017",,,,1,,,0,4
79,Louie Gohmert,R,Texas?1,"August 18, 1953","January 3, 2005",,,,,1,,,0,4
,Lynn Westmoreland,R,Georgia?3,"April 2, 1950","January 3, 2005","January 3, 2017",,,1,,,,0,3
,Mike Conaway,R,Texas?11,"June 11, 1948","January 3, 2005","January 3, 2021",,,1,,,,0,3
,Kenny Marchant,R,Texas?24,"February 23, 1951","January 3, 2005","January 3, 2021",,,1,,,,0,3
77,Jeff Fortenberry,R,Nebraska?1,"December 27, 1960","January 3, 2005","March 31, 2022",,1,,,,,0,2
78,Virginia Foxx,R,North Carolina?5,"June 29, 1943","January 3, 2005",,,,,,,,1,0
74,Emanuel Cleaver,D,Missouri?5,"October 26, 1944","January 3, 2005",,,,,,,,1,0
80,Al Green,D,Texas?9,"September 1, 1947","January 3, 2005",,,,,,,,1,0
85,Gwen Moore,D,Wisconsin?4,"April 18, 1951","January 3, 2005",,,,,,,,1,0
75,Jim Costa,D,California?16,"April 13, 1952","January 3, 2005",,,,,,,,1,0
76,Henry Cuellar,D,Texas?28,"September 19, 1955","January 3, 2005",,,,,,,,1,0
81,Brian Higgins,D,New York?26,"October 6, 1959","January 3, 2005",,,,,,,,1,0
82,Michael McCaul,R,Texas?10,"January 14, 1962","January 3, 2005",,,,,,,,1,0
86,Debbie Wasserman Schultz,D,Florida?23,"September 27, 1966","January 3, 2005",,,,,,,,1,0
84,Cathy McMorris Rodgers,R,Washington?5,"May 22, 1969","January 3, 2005",,,,,,,,1,0
83,Patrick McHenry,R,North Carolina?10,"October 22, 1975","January 3, 2005",,,,,,,,1,0
87,Doris Matsui,D,California?6,"September 25, 1944","March 8, 2005",,,,,,,,1,0
,John Campbell,R,California?45,"July 19, 1955","December 6, 2005","January 3, 2015",,,1,,,,0,3
88,Albio Sires,D,New Jersey?8,"January 26, 1951","November 7, 2006",,,,1,,,,0,3
,Bruce Braley,D,Iowa?1,"October 30, 1957","January 3, 2007","January 3, 2015",,,,1,,,0,4
103,Peter Welch,D,Vermont?AL,"February 3, 1959","January 3, 2007",,,,,1,,,0,4
,Michele Bachmann,R,Minnesota?6,"April 6, 1956","January 3, 2007","January 3, 2015",,,1,,,,0,3
,Dave Loebsack,D,Iowa?2,"December 23, 1952","January 3, 2007","January 3, 2021",,,1,,,,0,3
104,John Yarmuth,D,Kentucky?3,"November 4, 1947","January 3, 2007",,,,1,,,,0,3
99,Jerry McNerney,D,California?9,"June 18, 1951","January 3, 2007",,,,1,,,,0,3
100,Ed Perlmutter,D,Colorado?7,"May 1, 1953","January 3, 2007",,,,1,,,,0,3
93,Steve Cohen,D,Tennessee?9,"May 24, 1949","January 3, 2007",,,,,,,,1,0
90,Vern Buchanan,R,Florida?16,"May 8, 1951","January 3, 2007",,,,,,,,1,0
94,Joe Courtney,D,Connecticut?2,"April 6, 1953","January 3, 2007",,,,,,,,1,0
97,Doug Lamborn,R,Colorado?5,"May 24, 1954","January 3, 2007",,,,,,,,1,0
95,Hank Johnson,D,Georgia?4,"October 2, 1954","January 3, 2007",,,,,,,,1,0
101,John Sarbanes,D,Maryland?3,"May 22, 1962","January 3, 2007",,,,,,,,1,0
89,Gus Bilirakis,R,Florida?12,"February 8, 1963","January 3, 2007",,,,,,,,1,0
96,Jim Jordan,R,Ohio?4,"February 17, 1964","January 3, 2007",,,,,,,,1,0
92,Yvette Clarke,D,New York?9,"November 21, 1964","January 3, 2007",,,,,,,,1,0
98,Kevin McCarthy,R,California?23,"January 26, 1965","January 3, 2007",,,,,,,,1,0
91,Kathy Castor,D,Florida?14,"August 20, 1966","January 3, 2007",,,,,,,,1,0
102,Adrian Smith,R,Nebraska?3,"December 19, 1970","January 3, 2007",,,,,,,,1,0
,Paul Broun,R,Georgia?10,"May 14, 1946","July 17, 2007","January 3, 2015",,,,1,,,0,4
,Niki Tsongas,D,Massachusetts?3,"April 26, 1946","October 16, 2007","January 3, 2019",,,1,,,,0,3
106,Rob Wittman,R,Virginia?1,"May 2, 1947","December 11, 2007",,,,,,,,1,0
105,Bob Latta,R,Ohio?5,"April 18, 1956","December 11, 2007",,,,,,,,1,0
107,Andr? Carson,D,Indiana?7,"October 16, 1974","March 11, 2008",,,,,,,,1,0
108,Jackie Speier,D,California?14,"May 14, 1950","April 8, 2008",,,,1,,,,0,3
109,Steve Scalise,R,Louisiana?1,"October 6, 1965","May 3, 2008",,,,,,,,1,0
,Donna Edwards,D,Maryland?4,"June 28, 1958","June 17, 2008","January 3, 2017",,,,1,,,0,4
110,Marcia Fudge,D,Ohio?11,"October 29, 1952","November 18, 2008","March 10, 2021",,1,,,,,0,2
,Kevin Yoder,R,Kansas?3,"January 8, 1976","January 3, 2009","January 3, 2019",,,,,,1,0,6
,Jeff Denham,R,California?10,"July 29, 1967","January 3, 2009","January 3, 2019",,,,,,1,0,6
,Randy Hultgren,R,Illinois?14,"March 1, 1966","January 3, 2009","January 3, 2019",,,,,,1,0,6
,Erik Paulsen,R,Minnesota?3,"May 14, 1965","January 3, 2009","January 3, 2019",,,,,,1,0,6
,Mike Coffman,R,Colorado?6,"March 19, 1955","January 3, 2009","January 3, 2019",,,,,,1,0,6
,Leonard Lance,R,New Jersey?7,"June 25, 1952","January 3, 2009","January 3, 2019",,,,,,1,0,6
118,Kurt Schrader,D,Oregon?5,"October 19, 1951","January 3, 2009",,,,,,1,,0,5
,Bill Cassidy,R,Louisiana?6,"September 28, 1957","January 3, 2009","January 3, 2015",,,,1,,,0,4
,Gary Peters,D,Michigan?14,"December 1, 1958","January 3, 2009","January 3, 2015",,,,1,,,0,4
,John Fleming,R,Louisiana?4,"July 5, 1951","January 3, 2009","January 3, 2017",,,,1,,,0,4
,Mick Mulvaney,R,South Carolina?5,"July 21, 1967","January 3, 2009","February 16, 2017",,,,1,,,0,4
,Jared Polis,D,Colorado?2,"May 12, 1975","January 3, 2009","January 3, 2019",,,,1,,,0,4
,Kristi Noem,R,South Dakota?AL,"November 30, 1971","January 3, 2009","January 3, 2019",,,,1,,,0,4
,Todd Rokita,R,Indiana?4,"February 9, 1970","January 3, 2009","January 3, 2019",,,,1,,,0,4
,Raul Labrador,R,Idaho?1,"December 8, 1967","January 3, 2009","January 3, 2019",,,,1,,,0,4
,Jim Renacci,R,Ohio?16,"December 3, 1958","January 3, 2009","January 3, 2019",,,,1,,,0,4
,Lou Barletta,R,Pennsylvania?11,"January 28, 1956","January 3, 2009","January 3, 2019",,,,1,,,0,4
,Diane Black,R,Tennessee?6,"January 16, 1951","January 3, 2009","January 3, 2019",,,,1,,,0,4
,Ben Ray Luj?n,D,New Mexico?3,"June 7, 1972","January 3, 2009","January 3, 2021",,,,1,,,0,4
,Cynthia Lummis,R,Wyoming?at-large,"September 10, 1954","January 3, 2009","January 3, 2017",,,1,,,,0,3
,Pat Meehan,R,Pennsylvania?7,"October 20, 1955","January 3, 2009","April 27, 2018",,,1,,,,0,3
,Tom Rooney,R,Florida?17,"November 21, 1970","January 3, 2009","January 3, 2019",,,1,,,,0,3
,Trey Gowdy,R,South Carolina?4,"August 22, 1964","January 3, 2009","January 3, 2019",,,1,,,,0,3
,Lynn Jenkins,R,Kansas?2,"June 10, 1963","January 3, 2009","January 3, 2019",,,1,,,,0,3
,Gregg Harper,R,Mississippi?3,"June 1, 1956","January 3, 2009","January 3, 2019",,,1,,,,0,3
,Dennis Ross,R,Florida?15,"October 18, 1959","January 3, 2009","January 3, 2019",,,1,,,,0,3
,Phil Roe,R,Tennessee?1,"July 21, 1945","January 3, 2009","January 3, 2021",,,1,,,,0,3
,Pete Olson,R,Texas?22,"December 9, 1962","January 3, 2009","January 3, 2021",,,1,,,,0,3
,Aaron Schock,R,Illinois?18,"May 28, 1981","January 3, 2009","March 31, 2015",,1,,,,,0,2
,Blake Farenthold,R,Texas?27,"December 12, 1961","January 3, 2009","April 6, 2018",,1,,,,,0,2
,Jason Chaffetz,R,Utah?3,"March 26, 1967","January 3, 2009","January 3, 2019",,1,,,,,0,2
,Duncan D. Hunter,R,California?50,"December 7, 1976","January 3, 2009","January 13, 2020",,1,,,,,0,2
117,Bill Posey,R,Florida?8,"December 18, 1947","January 3, 2009",,,,,,,,1,0
120,Paul Tonko,D,New York?20,"June 18, 1949","January 3, 2009",,,,,,,,1,0
111,Gerry Connolly,D,Virginia?11,"March 30, 1950","January 3, 2009",,,,,,,,1,0
114,Blaine Luetkemeyer,R,Missouri?3,"May 7, 1952","January 3, 2009",,,,,,,,1,0
116,Chellie Pingree,D,Maine?1,"April 2, 1955","January 3, 2009",,,,,,,,1,0
115,Tom McClintock,R,California?4,"July 10, 1956","January 3, 2009",,,,,,,,1,0
119,Glenn Thompson,R,Pennsylvania?15,"July 27, 1959","January 3, 2009",,,,,,,,1,0
